Elemento,Dimensión,Subdimensión,Eje
92. Seguridad en la toma de decisiones,8. Factores de la Personalidad,Seguridad en la Toma de Decisiones,positivo
93. Capacidad de adaptación,8. Factores de la Personalidad,Capacidad de Adaptación,positivo
94. Capacidad de aprendizaje,8. Factores de la Personalidad,Capacidad de Aprendizaje,positivo
95. Manejo del estrés,8. Factores de la Personalidad,Manejo del Estrés,negativo
96. Relaciones interpersonales,9. Relaciones Interpersonales,Relaciones Interpersonales,positivo
97. Relaciones con compañeros,9. Relaciones Interpersonales,Relaciones con Compañeros,positivo
98. Relaciones de apoyo,9. Relaciones Interpersonales,Relaciones de Apoyo,positivo
99. Comunicación con clientes,9. Relaciones Interpersonales,Comunicación con Clientes,positivo
100. Confianza en los compañeros,9. Relaciones Interpersonales,Confianza en los Compañeros,positivo
101. Comunicación con supervisores,9. Relaciones Interpersonales,Comunicación con Supervisores,positivo
102. Confianza en la dirección,9. Relaciones Interpersonales,Confianza en la Dirección,positivo
103. Comunicación horizontal,9. Relaciones Interpersonales,Comunicación Horizontal,positivo
104. Participación activa en la organización,9. Relaciones Interpersonales,Participación Activa en la Organización,positivo
105. Cohesión del grupo de trabajo,9. Relaciones Interpersonales,Cohesión del Grupo de Trabajo,positivo
106. Sentido de la pertenencia,9. Relaciones Interpersonales,Sentido de la Pertenencia,positivo
107. Orgullo por el trabajo,9. Relaciones Interpersonales,Orgullo por el Trabajo,positivo
108. Apoyo social externo,9. Relaciones Interpersonales,Apoyo Social Externo,positivo
109. Confianza en la dirección,9. Relaciones Interpersonales,Confianza en la Dirección,positivo
110. Comunicación con clientes,9. Relaciones Interpersonales,Comunicación con Clientes,positivo
111. Calidad del liderazgo,10. Liderazgo,Calidad del Liderazgo,positivo
112. Claridad en la organización,10. Liderazgo,Claridad en la Organización,positivo
113. Consistencia en las políticas de la empresa,10. Liderazgo,Consistencia en las Políticas de la Empresa,positivo
114. Integración de la vida personal y laboral,10. Liderazgo,Integración de la Vida Personal y Laboral,positivo
115. Participación en la comunidad,10. Liderazgo,Participación en la Comunidad,positivo
116. Cumplimiento de expectativas,10. Liderazgo,Cumplimiento de Expectativas,positivo
117. Claridad en la asignación de tareas,10. Liderazgo,Claridad en la Asignación de Tareas,positivo
118. Claridad en la comunicación,10. Liderazgo,Claridad en la Comunicación,positivo
119. Participación en decisiones,10. Liderazgo,Participación en Decisiones,positivo
120. Comunicación en la organización,10. Liderazgo,Comunicación en la Organización,positivo
121. Claridad en la toma de decisiones,10. Liderazgo,Claridad en la Toma de Decisiones,positivo
122. Comunicación con los empleados,10. Liderazgo,Comunicación con los Empleados,positivo
123. Claridad en las políticas de la empresa,10. Liderazgo,Claridad en las Políticas de la Empresa,positivo
124. Feedback en el desempeño,10. Liderazgo,Feedback en el Desempeño,positivo
125. Satisfacción con el equipo de trabajo,11. Satisfacción,Satisfacción con el Equipo de Trabajo,positivo
126. Satisfacción con las condiciones de trabajo,11. Satisfacción,Satisfacción con las Condiciones de Trabajo,positivo
127. Satisfacción con el entorno laboral,11. Satisfacción,Satisfacción con el Entorno Laboral,positivo
128. Valoración del trabajo,11. Satisfacción,Valoración del Trabajo,positivo
129. Satisfacción general,11. Satisfacción,Satisfacción General,positivo
130. Satisfacción con las relaciones interpersonales,11. Satisfacción,Satisfacción con las Relaciones Interpersonales,positivo
131. Satisfacción con el liderazgo,11. Satisfacción,Satisfacción con el Liderazgo,positivo
132. Satisfacción con el apoyo social,11. Satisfacción,Satisfacción con el Apoyo Social,positivo
133. Satisfacción con el trabajo,11. Satisfacción,Satisfacción con el Trabajo,positivo
134. Satisfacción con la vida laboral,11. Satisfacción,Satisfacción con la Vida Laboral,positivo
135. Satisfacción con el clima laboral,11. Satisfacción,Satisfacción con el Clima Laboral,positivo
136. Satisfacción con las relaciones de apoyo,11. Satisfacción,Satisfacción con las Relaciones de Apoyo,positivo
137. Satisfacción con el trabajo en equipo,11. Satisfacción,Satisfacción con el Trabajo en Equipo,positivo
138. Satisfacción con la vida personal,11. Satisfacción,Satisfacción con la Vida Personal,positivo
139. Satisfacción con la integración de la vida personal y laboral,11. Satisfacción,Satisfacción con la Integración de la Vida Personal y Laboral,positivo
140. Satisfacción con el desarrollo profesional,11. Satisfacción,Satisfacción con el Desarrollo Profesional,positivo
141. Satisfacción con el liderazgo de los supervisores,11. Satisfacción,Satisfacción con el Liderazgo de los Supervisores,positivo
